CEP_ORIGEM;LAT_ORIGEM;LOG_ORIGEM;CEP_DESTINO;LAT_DESTINO;LOG_DESTINO
74080140;-16,68375;-49,25908;74003010;-16,68195;-49,25860
74786005;-16,65538;-49,18571;74140150;-16,69168;-49,27788
74786005;-16,65538;-49,18571;74140150;-16,69168;-49,27788
74786005;-16,65538;-49,18571;74140150;-16,69168;-49,27788
74786005;-16,65538;-49,18571;74140150;-16,69168;-49,27788
74786005;-16,65538;-49,18571;74140150;-16,69168;-49,27788
74786005;-16,65538;-49,18571;74140150;-16,69168;-49,27788
74786005;-16,65538;-49,18571;74140150;-16,69168;-49,27788
74786005;-16,65538;-49,18571;74140150;-16,69168;-49,27788
74215005;-16,70638;-49,29003;74080320;-16,69021;-49,26083
74215005;-16,70638;-49,29003;74080320;-16,69021;-49,26083
74215005;-16,70638;-49,29003;74080320;-16,69021;-49,26083
74770130;-16,66503;-49,18470;74884115;-16,69943;-49,22607
74770130;-16,66503;-49,18470;74884115;-16,69943;-49,22607
74770130;-16,66503;-49,18470;74884115;-16,69943;-49,22607
74770130;-16,66503;-49,18470;74884115;-16,69943;-49,22607
74770130;-16,66503;-49,18470;74884115;-16,69943;-49,22607
74770130;-16,66503;-49,18470;74884115;-16,69943;-49,22607
74770130;-16,66503;-49,18470;74884115;-16,69943;-49,22607
74770130;-16,66503;-49,18470;74884115;-16,69943;-49,22607
74770130;-16,66503;-49,18470;74884115;-16,69943;-49,22607
74770130;-16,66503;-49,18470;74884115;-16,69943;-49,22607
74770130;-16,66503;-49,18470;74884115;-16,69943;-49,22607
74357651;-16,79596;-49,36368;74884115;-16,69943;-49,22607
74491628;-16,67633;-49,44005;74110030;-16,68026;-49,27224
74491628;-16,67633;-49,44005;74110030;-16,68026;-49,27224
74491628;-16,67633;-49,44005;74110030;-16,68026;-49,27224
74491628;-16,67633;-49,44005;74110030;-16,68026;-49,27224
74491628;-16,67633;-49,44005;74110030;-16,68026;-49,27224
74491628;-16,67633;-49,44005;74110030;-16,68026;-49,27224
74115060;-16,68769;-49,27693;74660030;-16,64908;-49,26160
74115060;-16,68769;-49,27693;74660030;-16,64908;-49,26160
74230010;-16,71908;-49,27624;74055100;-16,67002;-49,25968
74160010;-16,70880;-49,26502;74115070;-16,68506;-49,27729
74840250;-16,73792;-49,27699;74884900;-16,70300;-49,22721
74840250;-16,73792;-49,27699;74884900;-16,70300;-49,22721
74840250;-16,73792;-49,27699;74884900;-16,70300;-49,22721
74840250;-16,73792;-49,27699;74884900;-16,70300;-49,22721
74255500;-16,72303;-49,28807;74045120;-16,67063;-49,26257
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74125030;-16,67882;-49,27902;74660280;-16,64634;-49,25885
74583765;-16,63964;-49,30219;74255220;-16,71028;-49,29496
74650170;-16,65749;-49,24614;74055110;-16,66740;-49,25813
74650170;-16,65749;-49,24614;74055110;-16,66740;-49,25813
74485851;-16,68960;-49,34039;74430130;-16,67363;-49,31527
74354015;-16,75038;-49,33638;74210330;-16,70614;-49,26851
74354015;-16,75038;-49,33638;74210330;-16,70614;-49,26851
74845760;-16,71638;-49,24377;74230030;-16,72004;-49,26780
74303200;-16,70155;-49,30475;74810380;-16,70737;-49,23380
74691865;-16,59798;-49,27173;74850130;-16,72131;-49,24210
74345170;-16,74338;-49,30151;74805100;-16,69908;-49,24458
74410080;-16,68307;-49,29681;74356062;-16,79214;-49,37737
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
