CEP_ORIGEM;LAT_ORIGEM;LOG_ORIGEM;CEP_DESTINO;LAT_DESTINO;LOG_DESTINO;POINT_ORIGEM;INTERSECCAO_ORIGEM;AREA_ORIGEM;POINT_DESTINO;INTERSECCAO_DESTINO;AREA_DESTINO
74420075;-16,68676;-49,32095;74055045;-16,66593;-49,26636;c(-49.32095, -16.68676);172;118;c(-49.26636, -16.66593);319;23
74785420;-16,64683;-49,18089;74785132;-16,64830;-49,19409;c(-49.18089, -16.64683);234;154B;c(-49.19409, -16.6483);239;154A
74785420;-16,64683;-49,18089;74675830;-16,62567;-49,22551;c(-49.18089, -16.64683);234;154B;c(-49.22551, -16.62567);341;149C
74275140;-16,71798;-49,28105;74160010;-16,70880;-49,26502;c(-49.28105, -16.71798);77;59;c(-49.26502, -16.7088);249;49
74369035;-16,73918;-49,34868;74070100;-16,67464;-49,27205;c(-49.34868, -16.73918);128;159;c(-49.27205, -16.67464);316;21
74655150;-16,65240;-49,25382;74405030;-16,68426;-49,29749;c(-49.25382, -16.6524);284;76;c(-49.29749, -16.68426);185;121
74655150;-16,65240;-49,25382;74405030;-16,68426;-49,29749;c(-49.25382, -16.6524);284;76;c(-49.29749, -16.68426);185;121
74769786;-16,65585;-49,18397;74740200;-16,69132;-49,20553;c(-49.18397, -16.65585);234;154B;c(-49.20553, -16.69132);252;89
74610230;-16,67798;-49,23940;74015050;-16,67882;-49,26181;c(-49.2394, -16.67798);294;32;c(-49.26181, -16.67882);298;3
74835460;-16,73661;-49,28371;74690900;-16,61139;-49,26831;c(-49.28371, -16.73661);76;100;c(-49.26831, -16.61139);349;193A
74093140;-16,69571;-49,25820;74015020;-16,67972;-49,26073;c(-49.2582, -16.69571);302;12;c(-49.26073, -16.67972);304;17
74093140;-16,69571;-49,25820;74015020;-16,67972;-49,26073;c(-49.2582, -16.69571);302;12;c(-49.26073, -16.67972);304;17
74270130;-16,69842;-49,28272;74305380;-16,69552;-49,30023;c(-49.28272, -16.69842);87;53;c(-49.30023, -16.69552);180;116
74690750;-16,60777;-49,24998;74835130;-16,72248;-49,26643;c(-49.24998, -16.60777);348;195;c(-49.26643, -16.72248);274;97
74665510;-16,63475;-49,26524;74595333;-16,63149;-49,28571;c(-49.26524, -16.63475);350;142;c(-49.28571, -16.63149);74;191
74230110;-16,71616;-49,27094;74120170;-16,68973;-49,26330;c(-49.27094, -16.71616);275;58;c(-49.2633, -16.68973);305;16
74477055;-16,60056;-49,34907;74823040;-16,71216;-49,25852;c(-49.34907, -16.60056);197;185;c(-49.25852, -16.71216);242;42
74815610;-16,72179;-49,22759;74180040;-16,70186;-49,26387;c(-49.22759, -16.72179);278;92B;c(-49.26387, -16.70186);309;13
74580370;-16,64910;-49,29866;74023010;-16,67793;-49,26371;c(-49.29866, -16.6491);120;137;c(-49.26371, -16.67793);298;3
74265010;-16,70218;-49,29109;74223080;-16,70979;-49,26919;c(-49.29109, -16.70218);183;54;c(-49.26919, -16.70979);249;49
74393435;-16,73379;-49,35838;74075210;-16,67695;-49,26938;c(-49.35838, -16.73379);142;164A;c(-49.26938, -16.67695);316;21
74605120;-16,68625;-49,24971;74820300;-16,71320;-49,25556;c(-49.24971, -16.68625);290;8;c(-49.25556, -16.7132);242;42
74215210;-16,70154;-49,27696;74810100;-16,71088;-49,24312;c(-49.27696, -16.70154);306;50;c(-49.24312, -16.71088);246;38
74477421;-16,58522;-49,34122;74805010;-16,71495;-49,23411;c(-49.34122, -16.58522);198;186;c(-49.23411, -16.71495);264;91A
74477421;-16,58522;-49,34122;74805010;-16,71495;-49,23411;c(-49.34122, -16.58522);198;186;c(-49.23411, -16.71495);264;91A
74815700;-16,71561;-49,24017;74884900;-16,70300;-49,22721;c(-49.24017, -16.71561);246;38;c(-49.22721, -16.703);325;90C
74477421;-16,58522;-49,34122;74805010;-16,71495;-49,23411;c(-49.34122, -16.58522);198;186;c(-49.23411, -16.71495);264;91A
74610230;-16,67798;-49,23940;74015050;-16,67882;-49,26181;c(-49.2394, -16.67798);294;32;c(-49.26181, -16.67882);298;3
74610230;-16,67798;-49,23940;74015050;-16,67882;-49,26181;c(-49.2394, -16.67798);294;32;c(-49.26181, -16.67882);298;3
74550180;-16,66856;-49,28641;74160010;-16,70880;-49,26502;c(-49.28641, -16.66856);91;68;c(-49.26502, -16.7088);249;49
74484240;-16,70347;-49,35566;74675380;-16,62413;-49,21803;c(-49.35566, -16.70347);135;166;c(-49.21803, -16.62413);341;149C
74390389;-16,71995;-49,38486;74275220;-16,72239;-49,27726;c(-49.38486, -16.71995);133;165A;c(-49.27726, -16.72239);274;97
74713290;-16,68228;-49,22835;74655145;-16,65467;-49,25402;c(-49.22835, -16.68228);254;86;c(-49.25402, -16.65467);284;76
