CEP_ORIGEM;LAT_ORIGEM;LOG_ORIGEM;CEP_DESTINO;LAT_DESTINO;LOG_DESTINO
74275070;-16,71579;-49,29035;74280315;-16,72199;-49,27380
74160010;-16,70880;-49,26502;74160010;-16,70880;-49,26502
74420230;-16,68827;-49,32045;74425535;-16,67510;-49,31711
74370699;-16,72334;-49,33963;74140020;-16,69149;-49,27123
74481440;-16,59653;-49,33327;74481440;-16,59653;-49,33327
74496070;-16,65393;-49,38348;74496070;-16,65393;-49,38348
74477173;-16,58859;-49,33187;74477173;-16,58859;-49,33187
74555385;-16,65777;-49,28706;74555345;-16,65900;-49,27917
74645170;-16,66580;-49,24835;74645170;-16,66580;-49,24835
74886014;-16,72056;-49,21515;74886014;-16,72056;-49,21515
74265280;-16,69944;-49,29217;74055150;-16,67017;-49,26488
74425310;-16,67715;-49,31211;74425310;-16,67715;-49,31211
74520040;-16,66752;-49,29698;74520070;-16,67276;-49,29719
74313750;-16,70818;-49,30554;74313750;-16,70818;-49,30554
74323290;-16,69715;-49,31806;74323290;-16,69715;-49,31806
74030060;-16,67885;-49,25283;74645070;-16,66212;-49,25170
74371420;-16,73434;-49,34483;74645070;-16,66212;-49,25170
74770310;-16,66559;-49,18733;74043010;-16,67728;-49,26535
74356705;-16,78587;-49,38705;74356705;-16,78587;-49,38705
74565699;-16,63967;-49,26636;74565699;-16,63967;-49,26636
74115100;-16,68547;-49,26882;74533030;-16,68714;-49,28144
74491185;-16,66513;-49,41921;74491180;-16,66559;-49,41938
74020170;-16,67899;-49,25586;74020170;-16,67899;-49,25586
74684355;-16,59512;-49,20348;74684355;-16,59512;-49,20348
74470541;-16,63234;-49,35786;74470541;-16,63234;-49,35786
74460210;-16,66485;-49,34194;74525060;-16,67570;-49,29423
74460210;-16,66485;-49,34194;74525060;-16,67570;-49,29423
74683775;-16,60981;-49,20921;74683775;-16,60981;-49,20921
74280270;-16,71954;-49,27368;74280270;-16,71954;-49,27368
74475013;-16,60309;-49,32794;74475013;-16,60309;-49,32794
